384,380.16,379.79,385.99,2456200
384.07,384.8,383.28,389.37,2687100
377.27,385.37,376.54,387.85,3174500
378.65,378.59,376.16,380.48,1920800
383.44,380.14,378,384.54,2177000
378.62,383.66,375.84,383.7,3258000
373.49,379,373.43,381.88,2953800
373.78,373.37,372.85,376.74,2650600
377.72,375.43,372.67,379.99,3673200
378.41,381.83,377.01,383,3475100
375.1,377.17,373.15,378.51,2791100
371.23,375.14,371.1,377.1,2786500
371.19,373,368.51,374.3,2287200
371,370.56,367.2,374.41,2724600
374.87,374.28,371.01,375.99,3871300
366,373.89,365.9,378.8,7247600
358.38,364.75,358.23,367.5,4169900
360.29,363.55,360.21,367.82,6212600
350.05,364.47,350.01,365,10231900
346.32,354.53,340.74,359.5,23856100
304.73,311.78,299.33,312.8,8656600
309.81,303.91,303.8,311.51,3063800
306.3,306.75,302.63,310.24,2920300
311.82,309.66,307.52,313,3169700
308.08,312.39,307.72,316.93,4496400
300,310.32,300,312.25,5362600
289.64,297.25,287.26,306,10065100
292.59,289.44,286.39,293.36,3075100
286.28,290.74,285.25,290.79,3478200
294,286.95,286.82,296,4410200
291.93,293.27,286.5,295.91,5538700
297.48,294.74,293.23,301.5,4130900
297.56,291.41,289.28,298.51,3421400
301.48,296.93,296.68,302.87,2589500
300.32,300.46,296.11,303.14,3088400
297.5,298.42,295.33,301.28,2640300
302.24,295.29,292.38,303,3519000
307.01,302.19,300.85,308.38,2774200
312.58,308.52,306.96,314.75,2783200
311.55,310.35,310.01,312.98,2048000
309.91,310.3,309.34,313.94,2093000
307.85,312.04,306.58,314.27,3009000
305,309.09,303.81,310.78,2887500
306.38,303.03,302.88,307,1513800
306.98,306.29,303.25,307.49,2713700
301.94,306.54,301.94,307.36,4003800
296.91,299.9,295.52,301.54,8709100
304.01,297.73,293.25,304.5,7738100
296.37,298.88,293.03,299.67,4433500
304.35,295.06,295.01,304.49,6501300
308.87,306.07,302.15,310.86,3841600
